NAME,ADDRESS,longitude,latitude
Lucan,"WJG9+M67, Lucena City, 4301 Quezon",13.92729746,121.6175581
"Graceland Apartment","WJG9+XM4 Teofila Subdivision, Lot 2 Block 3, Lucena City, Quezon",13.92770031,121.6189917
Jhey Devon’s Residence,"WJ9C+72G, Unnamed Road, Lucena City, 4301 Quezon",13.91839764,121.620013
Lucena replaceent valle,"WJ68+FQF, Dalahican Rd, Lucena City, 4301 Quezon",13.91156069,121.6169083
"Elma Gobrin Apartment","WJ58+8J4, Silverado St, Purok 5, Lucena City, 4301 Quezon",13.90858943,121.6165335
Figuerra’s Residence,"Purok 5, Silverado, Dalahican Rd, Lucena City, 4301 Quezon",13.90866879,121.6171103
"MANLAPAZ RESIDENCE","WJ59+98R, Lucena City, 4301 Quezon",13.90851696,121.6181178
Eje Residence,"WHGX+7CW Curva, Purok Masagana, Lucena City, 4301 Quezon",13.92652796,121.5991851
Icon,"WJM9+6MC, Papaya, Lucena City, 4301 Quezon",13.93345751,121.6192498
Rivera's Apartment,"57 Mangga, Lucena City, 4301 Quezon",13.93572804,121.618424
Pink House,"WJQF+5W5, Lucena City, 4301 Quezon",13.9382629,121.624824
Athena Residences,"Block 5, Jude Phase 2B, Lot 54 St. Andrew Street, Village of St, Lucena City, 4301 Quezon",13.9378099,121.6317826
St george lane,"WJQM+9P2, Saint George, Lucena City, 4301 Quezon",13.93854739,121.6343142
Lao Residences ,"WJVG+73V, Lucena City, 4301 Quezon",13.94371995,121.6252505
Gerald Radan,"WJVG+P66, Lucena City, 4301 Quezon",13.94449569,121.6254007
Diko,"WJVF+HVC, Lucena City, 4301 Quezon",13.94423385,121.6246456
Albrecht Building,"WJRC+RQ5, Purok San Lorenzo Brgy, Lucena City, 4301",13.94215726,121.621982
"Advincula Apartment","Red - V, San lorenzo Subd, Lucena City, 4301 Quezon",13.94258619,121.6213995
San lorenzo tapat nang juanesco apartment red gate,"WJRC+JJG, Lucena City, 4301 Quezon",13.94199077,121.6206237
Germono  Apartment,"Calabarzon, Philippines, 45 Akap Village, Lucena City, 4301 Quezon",13.93842747,121.626887
0114 LUCBAN ST. MARKETVIEW LUCENA CITY,"WJJ8+WCJ, Lucban, Lucena City, 4301 Quezon",13.93267687,121.6162893
Magaling-Ros Residences,"1952 Perseverance, Lucena City, 4301 Quezon",13.94323055,121.6004344
Marce Residence,"XH2W+VQF, Lucena City, 4301 Quezon",13.95269551,121.5970971
Amar Residents,"WHVW+MJW, Mabini street, ciudad maharlika, Lucena City, 4301 Quezon",13.9449887,121.5966831
"Obien apartment ","20 Hermana Fausta St, Lucena City, 4301 Quezon",13.93989156,121.6114511
VL Apartel,"129 Lansones, Lucena City, 4301 Quezon",13.93415569,121.6171417
secret,"131-37 M. H. del Pilar St, Lucena City, 4301 Quezon",13.93355161,121.6109238
St. Andrew St.,"B, St. Jude phase 2, St. Andrew St, Lucena City, 4301 Quezon",13.93857327,121.631712
JMM Apartment House,"St. Jude Phase 4A Blk 14 Lot 60, Lucena City, 4301 Quezon",13.93502268,121.6352875
Ann's Apartment,"Block 20, St. Phase 5A Village of St. Jude Brgy, Lot 10 San Rafael, Lucena City, 4301 Quezon",13.93610536,121.6359221
Denver Lori Apartment,"Phase 4A, VSJ, B12 L28, Lucena City, 4301 Quezon",13.93525856,121.6348824
Nepales Residence,"Block 16, St. Thomas Sundivision, Lot 4 Fuchsia Street, Lucena City, 4301 Quezon",13.93317474,121.6285127
Rioflorido residences,"Block 3 lot 3 phase3d, Jude brgt, Saint Digna, Lucena City, 4301 Quezon",13.93733544,121.632784
Serrano's Residence,"St Jason, Lucena City, 4301 Quezon",13.93722192,121.6324715
NOVELA'S Residence,"WJQM+VRQ, Lucena City, 4301 Quezon",13.93991635,121.6346471
Burnekels,"St Jude phase 2B, Block 6 lot 1 Nichomedes street, Lucena City, 4301 Quezon",13.93981905,121.6322984
St. Sofia,"St. Jude Village, Phase 2C Extension, Lucena City, 4301 Quezon",13.93966616,121.6300499
PQV APARTMENT,"Barangay Village of Saint Jude Phase 2C, Lucena City, 4301 Quezon",13.93818631,121.6290643
"Amado Residences","WJQH+HM8, Unnamed Road, Lucena City, 4301 Quezon",13.9393622,121.6291472
MAGS Building,"WJVJ+H66, Lucena City, 4301 Quezon",13.94415207,121.6304303
01 Capricorn St.,"WJVH+3MR, Lucena City, 4301 Quezon",13.94336071,121.6293145
Jasmin's Apartment,"090 Andaman Avenue, Lucena City, 4301 Quezon",13.94552677,121.6324143
Kyries Home,"Calmar Homes, Lot 14 Lakambini, Lucena City, 4301 Quezon",13.9436317,121.6401264
Estiva compound,"9918 Kitanglad, Extension, 4301 Quezon",13.94541216,121.6398971
bagumbayan,"WJRR+8F6, Bagumbayan, Lucena City, 4301 Quezon",13.94104192,121.6413147
"Casa Gonzales","Block 3, Lot 16, Purok Baybayin, Lucena City, 4301 Quezon",13.95339834,121.6273061
MARVIN MAYANA RESIDENCE,"Lot 4, Block 1, Bond Street, Phase 1B Metropolis Subdivision, Lucena City, 4301 Quezon",13.95508512,121.6291515
Marville Llagas Bodega,"Marville homes, Westmar, corner Haven St, Lucena City",13.95218125,121.636461
Norma Veran,"XJ3P+44R, Haven St, Lucena City, 4301 Quezon",13.95332999,121.6353869
Madrid St House Rent,"XJ2C+RR6, Geneva St, Lucena City, 4301 Quezon",13.95236786,121.6222251
Emko Dorm & Apartments,"Happy Valley Dzlt Compound Red V, Lucena City, 4301 Quezon",13.94451715,121.6251373
RUZ Residential,"XJ4W+F8F, Lucena City, 4301 Quezon",13.95663691,121.6458272
De Rosas Residence,"XM43+X76, St Agnes, Lucena City, 4301 Quezon",13.95756821,121.6531802
"RMR House","XM53+H74, Pagbilao, 4301 Quezon",13.95903912,121.6532704
Fevry ,"WJRH+V44, Lucena City, 4301 Quezon",13.94229623,121.627965
"San lorenzo, ibabang Dupay , Lucena City","WJRC+JJG, Lucena City, 4301 Quezon",13.94190435,121.6206262
DCLT,"WJVG+M2F, Lucena City, 4301 Quezon",13.94432779,121.625085
Glydel Alcos,"2nd Floor Unit 4, Block 10 Lot 4, Immaculate Conception Drive, St. Jude Phase 1A, Lucena City, 4301 Quezon",13.94157692,121.6307477
NANAYS PAUPAHAN,"WJRG+8RX, Lucena City, 4301 Quezon",13.9410699,121.6272086
South Red Palm Hotel,"63, Old Manila South Road, Lucena City, 4301",13.950189339510734    121.58304512394761,
Lucena Fresh Air Hotel and Resort,"WHVV+C42, Old Manila S Rd, Barangay Isabang, Lucena City, 4301 Quezon",13.946024343474335    121.59317314525948,
Hotel 101,"XH3P+7VH, Dumoit Rd, Lucena City, 4301 Quezon",13.960683505875567    121.60372179651336,
Quezon Premier Hotel Lucena,"XJ62+H7J Barangay Domoit, 1, Lucena City, 4301 Quezon",13.963849998520459    121.60046875397643,
"Queen Margarette Hotel Main Domoit, Lucena, Quezon","4301, Lucena City, Quezon",13.962267402659078    121.59145653144374,
Hotel Rosita,"Lot 1556 Maharlika Hwy, Diversion Road, Lucena City, 4301 Quezon",13.963266938151877    121.59918129361462,
Meaco Royal Hotel - Lucena City,"Ocean Palace Mall, Granja St, Lucena City, 4301 Quezon",13.933930355018518    121.61251832426488,
The Guest House,"1229 H&E Building, 1, Lucena City, 4301",13.957438279902673    121.5718236677457,
2205 Suites,"WJQ5+X5R, P. Gomez St, Extension, Lucena City, 4301 Quezon",13.942027903170406    121.60787255744195,
Urbantel Hotel,"30 Don Queblar St, Lucena City, 4301 Quezon",13.933447625731961    121.61336572127799,
Queen Margarette Hotel - Downtown,"WJP7+P49, Granja St, Lucena City, 4301 Quezon",13.938862400983727    121.61285073713326,
RedDoorz @ Wyns Hotel,"Lourdes Subdivision, 8 San Isidro St, Lucena City, 4301 Quezon",13.943691991692369    121.59111780199032,
Greenview Hotel,"WHPX+CW6, Lucena City, 4301 Quezon",13.938443936598025    121.60004419383223,
Hotel Kbartolo,"jael subdivision, 0342 Lopez St, Lucena City, 4301 Quezon",13.94502344309512      121.61848467532877,
Casa Raliana Hotel & Restaurant,"XJ65+MQ7, Tayabas - Lucena Road, Lucena City, 4301 Quezon",13.964016665995478    121.60939973872362,
Tourist Hotel,"WHPX+GCQ, Lucena City, 4301 Quezon",13.938360633407429    121.60038751619098,
GSR PLACE,"Pedro Nieva Street Iyam Lucena City LUCENA CITY (CAPITAL LUCENA CITY (CAPITAL, 4301 Quezon",13.936994030802484    121.60687119267514,
The Saint Joseph Suites,"7 Trinidad St, Extension, Lucena City, 4301 Quezon",13.941154749709401    121.61809894417382,
Diamond Resort and Hotel,"WJRC+6XM, Maharlika Highway Red V, Old Manila S Rd, Lucena City, 4301 Quezon",13.942640702572117    121.62310039711414,
Castle Bernardina Hotel,"140 Dalahican Road, corner Maharlika Highway,, Ibabang Dupay, Lucena City, 4301 Quezon",13.942046322575083    121.62748942724546,
The Legacy Hotel,"77 F. Baltazar Street, Brgy. Angustias Zone-3, City of Tayabas, 4327 Quezon",14.031208146221317    121.5954900161664,
Familia Nap and Rose Resort,"Ravanzo Compound, Barangay Bocohan, Lucena City, 4301 Quezon",13.962010578941044    121.59038793365168,
Citilink Hotel,"115 DALAHICAN ROAD PUROK LITTLE BAGUIO, 1 BRGY, Lucena City, 4301",13.945684200660704    121.62454854775315,
St. Jude Cooperative Hotel and Event Center,"XH68+RVQ, Quezon, 4327 Quezon Province",13.964665126555627    121.57666567792768,
Sto Niño residence,"Bangkok street university site village, Lucena City",13.956976403531755    121.62932176411196,
The House Of Halina Inc.,"104 P. Gomez St, Lucena City, 4301 Quezon",13.941649298284483    121.6200520495069,
Sir Josh Hotel,"WJM6+JPX, Zamora Street cor Bonifacio Street, Zamora St, Lucena City, Quezon",13.937817362883889    121.61679048325698,
WYNS APARTELLE LUCENA,"Lourdes Subd, 8 San Isidro Street, Iyam, Lucena City, 4301 Quezon",13.948979780029568    121.59378785812598,
JISB Emperor,"WJM7+6FG, corner Merchan St, Lucena City, 4301 Quezon",13.934818412551367    121.61713380602015,
Roadside Hotel,"4301, Lucena City, Quezon",13.917657003464042    121.62400026128313,
First Quezon Premier Hotel,"WCH3+62H, Candelaria Bypass Rd, Candelaria, Quezon",13.931712347608011    121.40819164868927,
Ouan's The Farm Resort,"Km 133 Diversion Rd, Kanlurang Mayao, Lucena City, 4301 Quezon",13.960640051203097    121.6409407666012,
Palms Private Resort and Events Place,"Blk 34 Lot 8, Puerto DelMar ClubHouse, Lucena City, 4301 Quezon",13.952290883405963    121.59182867067679,
Roadside Hotel,"Tayabas - Lucena Road, City of Tayabas, 4327 Quezon",14.012838438446657    121.6041824294553,
Mercado's Lodge,"WJM7+5M2, Evangelista St, Lucena City, 4301 Quezon",13.932908741881793    121.61415552945533,
M.I. Sevilla's Resort,"Lucena City, 4301 Quezon",13.966321141407834    121.58730835890304,
Loxley Hotel,"WJCC+XFJ, Dalahican Rd, Lucena City, 4301 Quezon",13.922502129735507    121.62112798240997,
